"","X","learning_rate","decay","dropout","hidden","act","auc_val","oe_val","bs_val","prauc_val","auc.rank","bs.rank"
"38",17,0.001,0.0001,0.1,"(50, 70)","elu",0.64683541366945,1.03111505970823,0.169688378768526,0.0558743142739284,21,21
"39",18,0.0001,0.01,0.2,"(50, 40, 20)","relu",0.5,1.01594578870764,0.170450046859466,0.02995,72.5,53
"40",19,0.001,0.01,0.3,"(80, 30)","relu",0.453472338030697,0.972017740730983,0.170451607504831,0.0267462378816586,97,61
"41",0,0.001,0,0.2,"(30, 10)","elu",0.653094150934856,1.12117386049211,0.169496704659983,0.0605945594839132,3,2
"42",1,0.0001,0.01,0.2,"(20, 40, 50)","elu",0.5,1.04099988438068,0.170453480211208,0.02995,72.5,70
"43",2,0.01,0.0001,0.1,"(20, 40, 50)","elu",0.5,0.955103586819787,0.170455212752758,0.02995,72.5,74
"44",3,0.01,0,0.1,"(10, 40, 30)","relu",0.650223287523947,0.907096684388636,0.16965449924629,0.0545714919007709,8,12
"45",4,0.01,0,0.4,"(20, 60)","elu",0.653207107222757,3.24164814120403,0.171107372491059,0.0597949213868549,2,94
"46",5,0.01,0.01,0.3,"(50, 20, 20)","elu",0.5,0.923388602953145,0.170467510488831,0.02995,72.5,87
"47",6,0.001,0.001,0.1,"(70, 100)","relu",0.5,1.01142942240713,0.170449734652699,0.02995,72.5,50
