"","X","act","auc_val","bs_val","decay","dropout","hidden","learning_rate","oe_val","prauc_val","auc.rank","bs.rank"
"30",4,"elu",0.599444681869745,0.170387528791329,0.01,0,"(7,)",0.001,1.04380529053349,0.0429033442445152,25,29
"31",0,"relu",0.460375691978943,0.171930478981617,0,0.2,"(5,)",0.0001,3.33081197997511,0.0274919070254431,50,50
"32",1,"relu",0.512594593832358,0.171007945057398,0.001,0.2,"(9,)",0.0001,1.81422623534343,0.0323713977344132,44,49
"33",2,"relu",0.624618020266239,0.17040952789613,0.01,0.1,"(4,)",0.001,1.00219227927195,0.0464638969684971,20,34
"34",3,"elu",0.628458165654852,0.169950921113868,0.001,0.3,"(8,)",0.001,0.868305963838398,0.0509635724935936,19,23
"35",4,"elu",0.638192399510584,0.169750562816437,0,0.1,"(5,)",0.001,1.12282423127167,0.0562558375472247,15,14
"36",0,"elu",0.59778869417863,0.170446935317294,0.001,0.2,"(7, 7)",0.001,1.0136624201848,0.0409375500250308,26,38
"37",1,"elu",0.582566741284613,0.169912485665219,0,0.4,"(5, 6)",0.0001,1.07855005479562,0.0515455036891383,32,22
"38",2,"elu",0.583263458335926,0.170449154392876,0.001,0.1,"(4, 8)",0.001,1.00164719357061,0.0393645670463919,31,39
"39",3,"elu",0.599572150967383,0.169896834294869,0.0001,0.3,"(9, 3)",0.0001,1.02012143104904,0.0526999078224904,24,20
"40",4,"elu",0.542221151728836,0.170452516489883,0.01,0.4,"(7, 6)",0.0001,1.03657408492965,0.036267575399443,43,41
"41",0,"elu",0.572460893987789,0.170370286310653,0.001,0.4,"(4, 6)",0.0001,0.984931495988473,0.0424069535565028,36,27
"42",1,"relu",0.613058149163438,0.170470269698418,0.01,0.2,"(9, 9)",0.0001,0.918210019194993,0.0462450306553086,23,47
"43",2,"elu",0.571888889756556,0.170353333991799,0.001,0,"(8, 3)",0.0001,0.968719511641395,0.0426485777755757,37,25
"44",3,"elu",0.551581631658661,0.170397966317553,0.001,0.3,"(6, 4)",0.0001,0.985736969766731,0.0388749143662212,41,33
"45",4,"elu",0.571573579671082,0.170361091309753,0.001,0,"(5, 10)",0.0001,1.01699436892359,0.0429603096225778,38,26
"46",0,"elu",0.542415376524402,0.170382337166063,0.001,0.1,"(3, 5)",0.0001,0.955399262589511,0.0402148963055824,42,28
"47",1,"relu",0.557414665216558,0.170456731014718,0.01,0.3,"(8, 5)",0.001,0.949851613753062,0.0367847617238342,39,43
"48",2,"relu",0.63576881137652,0.169790845185658,0,0.5,"(10, 6)",0.0001,1.16426985724015,0.0547968545678683,18,17
"49",3,"elu",0.643967492080636,0.169807393125881,0.0001,0,"(9, 5)",0.001,0.822464318314459,0.0555910017502218,11,18
"50",4,"elu",0.576308149227976,0.170462117845663,0.01,0,"(4, 8)",0.001,1.07515630494775,0.0416498910244124,35,45
